date,Temp.,Humid.,Light,CO2
2015-02-02 14:19:00,23.7,26.27,585.2,749.2
2015-02-02 14:19:59,23.72,26.29,578.4,760.4
2015-02-02 14:21:00,23.73,26.23,572.67,769.67
2015-02-02 14:22:00,23.72,26.12,493.75,774.75
2015-02-02 14:23:00,23.75,26.2,488.6,779.0
2015-02-02 14:23:59,23.76,26.26,568.67,790.0
2015-02-02 14:25:00,23.73,26.29,536.33,798.0
2015-02-02 14:25:59,23.75,26.29,509.0,797.0
2015-02-02 14:26:59,23.75,26.35,476.0,803.2
2015-02-02 14:28:00,23.74,26.39,510.0,809.0
2015-02-02 14:29:00,23.74,26.44,481.5,815.25
2015-02-02 14:30:00,23.7,26.56,481.8,824.0
2015-02-02 14:31:00,23.7,26.6,475.25,832.0
2015-02-02 14:31:59,23.7,26.7,469.0,845.33
2015-02-02 14:32:59,23.7,26.77,464.0,852.4
2015-02-02 14:34:00,23.7,26.89,464.0,861.0
2015-02-02 14:35:00,23.7,26.97,455.0,880.0
2015-02-02 14:36:00,23.6,26.89,454.0,891.0
2015-02-02 14:37:00,23.64,26.98,458.0,897.6
2015-02-02 14:38:00,23.65,27.05,464.0,900.5
2015-02-02 14:38:59,23.64,27.1,473.0,908.8
2015-02-02 14:39:59,23.6,27.16,464.0,918.0
2015-02-02 14:41:00,23.6,27.24,498.4,925.2
2015-02-02 14:42:00,23.6,27.29,530.2,929.4
2015-02-02 14:43:00,23.6,27.33,533.6,936.4
2015-02-02 14:44:00,23.6,27.34,524.25,950.0
2015-02-02 14:44:59,23.62,27.39,498.67,961.0
2015-02-02 14:45:59,23.6,27.39,516.33,963.0
2015-02-02 14:47:00,23.6,27.41,501.2,958.6
2015-02-02 14:48:00,23.6,27.5,522.0,965.33
2015-02-02 14:49:00,23.6,27.52,520.5,979.25
2015-02-02 14:50:00,23.6,27.6,505.29,978.43
2015-02-02 14:51:00,23.6,27.6,488.33,983.0
2015-02-02 14:51:59,23.6,27.54,512.0,992.6
2015-02-02 14:53:00,23.6,27.6,511.0,997.2
2015-02-02 14:54:00,23.62,27.63,501.5,999.5
2015-02-02 14:55:00,23.67,27.7,503.67,1001.0
2015-02-02 14:55:59,23.6,27.7,483.17,1009.5
2015-02-02 14:57:00,23.6,27.72,483.5,1019.0
2015-02-02 14:57:59,23.6,27.79,473.0,1021.0
2015-02-02 14:58:59,23.6,27.86,470.33,1024.67
2015-02-02 15:00:00,23.6,27.8,480.14,1030.43
2015-02-02 15:01:00,23.58,27.79,464.0,1026.25
2015-02-02 15:02:00,23.54,27.81,474.4,1028.0
2015-02-02 15:03:00,23.6,27.98,470.0,1034.8
2015-02-02 15:04:00,23.52,28.0,454.0,1055.5
2015-02-02 15:04:59,23.5,27.98,454.0,1055.25
2015-02-02 15:06:00,23.5,28.0,454.0,1050.0
2015-02-02 15:07:00,23.5,28.0,454.0,1051.25
2015-02-02 15:08:00,23.5,28.0,445.0,1053.6
2015-02-02 15:08:59,23.5,28.0,439.0,1055.5
2015-02-02 15:10:00,23.5,28.02,444.25,1055.0
2015-02-02 15:10:59,23.44,28.12,454.75,1059.5
2015-02-02 15:11:59,23.39,28.18,455.8,1060.0
2015-02-02 15:13:00,23.39,28.2,451.6,1073.6
2015-02-02 15:14:00,23.39,28.2,451.6,1078.6
2015-02-02 15:15:00,23.39,28.2,454.75,1081.0
2015-02-02 15:16:00,23.39,28.22,454.75,1082.0
2015-02-02 15:16:59,23.39,28.37,457.5,1088.83
2015-02-02 15:17:59,23.37,28.39,464.0,1090.6
2015-02-02 15:19:00,23.39,28.32,464.0,1086.0
2015-02-02 15:20:00,23.37,28.44,464.0,1092.5
2015-02-02 15:21:00,23.39,28.5,471.5,1103.75
2015-02-02 15:22:00,23.32,28.5,475.67,1104.5
2015-02-02 15:23:00,23.36,28.5,471.5,1103.5
2015-02-02 15:23:59,23.29,28.5,467.75,1112.0
2015-02-02 15:24:59,23.31,28.53,466.5,1105.67
2015-02-02 15:26:00,23.29,28.7,464.0,1104.0
2015-02-02 15:27:00,23.29,28.7,467.0,1117.2
2015-02-02 15:28:00,23.29,28.68,467.75,1121.25
2015-02-02 15:29:00,23.29,28.62,466.5,1115.67
2015-02-02 15:29:59,23.29,28.66,459.0,1120.0
2015-02-02 15:30:59,23.29,28.55,464.0,1123.75
2015-02-02 15:32:00,23.29,28.6,470.0,1116.0
2015-02-02 15:33:00,23.27,28.6,464.0,1126.8
2015-02-02 15:34:00,23.2,28.42,464.0,1112.75
2015-02-02 15:35:00,23.23,28.5,449.0,1104.5
2015-02-02 15:36:00,23.29,28.5,464.0,1108.0
2015-02-02 15:36:59,23.22,28.63,462.33,1127.83
2015-02-02 15:38:00,23.2,28.6,469.0,1128.75
2015-02-02 15:39:00,23.2,28.65,469.0,1124.25
2015-02-02 15:40:00,23.2,28.62,469.0,1130.4
2015-02-02 15:40:59,23.2,28.7,464.0,1138.0
2015-02-02 15:42:00,23.2,28.7,456.5,1144.0
2015-02-02 15:42:59,23.2,28.72,457.0,1140.0
2015-02-02 15:43:59,23.2,28.79,450.25,1139.25
2015-02-02 15:45:00,23.2,28.79,446.0,1167.33
2015-02-02 15:46:00,23.14,28.79,451.6,1159.6
2015-02-02 15:47:00,23.15,28.89,454.75,1157.75
2015-02-02 15:48:00,23.15,28.89,448.0,1159.5
2015-02-02 15:49:00,23.18,28.83,444.0,1156.4
2015-02-02 15:49:59,23.12,28.94,444.0,1160.0
2015-02-02 15:51:00,23.14,28.96,444.0,1169.8
2015-02-02 15:52:00,23.1,29.0,444.0,1176.17
2015-02-02 15:53:00,23.1,29.08,444.0,1175.25
2015-02-02 15:53:59,23.1,28.92,444.0,1166.6
2015-02-02 15:55:00,23.1,27.92,444.0,1140.25
2015-02-02 15:55:59,23.06,27.77,444.0,1089.2
2015-02-02 15:56:59,23.02,27.56,435.0,1042.6
2015-02-02 15:58:00,23.01,27.82,432.0,1051.1
2015-02-02 15:59:00,23.0,28.08,429.0,1059.6
2015-02-02 16:00:00,23.0,27.96,429.0,1064.6
2015-02-02 16:01:00,22.98,27.91,429.0,1061.67
2015-02-02 16:01:59,23.0,27.93,429.0,1058.33
2015-02-02 16:02:59,23.0,28.02,429.0,1061.6
2015-02-02 16:04:00,22.98,28.07,429.0,1070.33
2015-02-02 16:05:00,22.94,28.1,429.0,1074.0
2015-02-02 16:06:00,23.0,28.1,429.0,1086.25
2015-02-02 16:07:00,22.96,28.2,429.0,1089.6
2015-02-02 16:08:00,22.97,28.1,429.0,1085.0
2015-02-02 16:08:59,22.94,28.13,429.0,1085.0
2015-02-02 16:09:59,23.0,28.2,429.0,1088.0
2015-02-02 16:11:00,22.94,28.2,429.0,1091.75
2015-02-02 16:12:00,23.0,28.13,429.0,1091.33
